n,MVM,MMM
64,23933.9266,746.0763
100,23933.9266,746.0763
128,23933.9266,746.0763
200,23933.9266,746.0763
256,23933.9266,746.0763
512,23933.9266,746.0763
600,23933.9266,746.0763
900,23933.9266,746.0763
1024,23933.9266,746.0763
2000,23933.9266,746.0763
2048,23933.9266,746.0763
3000,23933.9266,746.0763
4000,23933.9266,746.0763
